The first table is the CSV data I get from Yahoo:,,,,,,
,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2015-02-20,2097.65,2110.61,2085.44,2110.3,3281600000,2110.3
2015-02-19,2099.25,2102.13,2090.79,2097.45,3247100000,2097.45
2015-02-18,2099.16,2100.23,2092.15,2099.68,3370020000,2099.68
2015-02-17,2096.47,2101.3,2089.8,2100.34,3361750000,2100.34
2015-02-13,2088.78,2097.03,2086.7,2096.99,3527450000,2096.99
2015-02-12,2069.98,2088.53,2069.98,2088.48,3788350000,2088.48
2015-02-11,2068.55,2073.48,2057.99,2068.53,3596860000,2068.53
2015-02-10,2049.38,2070.86,2048.62,2068.59,3669850000,2068.59
2015-02-09,2053.47,2056.16,2041.88,2046.74,3549540000,2046.74
,,,,,,
This is the table that I want:,,,,,,
,,,,,,
cdate,cp,lead_p,lag_pctg,lead_pctg,,
2015-02-20,2110.3,UNKNOWN,0.6126486925,UNKNOWN,,
2015-02-19,2097.45,2110.3,-0.1062066601,0.6126486925,,
2015-02-18,2099.68,2097.45,-0.0314234838,-0.1062066601,,
2015-02-17,2100.34,2099.68,0.1597527885,-0.0314234838,,
2015-02-13,2096.99,2100.34,0.4074733778,0.1597527885,,
2015-02-12,2088.48,2096.99,0.9644530174,0.4074733778,,
2015-02-11,2068.53,2088.48,-0.0029005264,0.9644530174,,
2015-02-10,2068.59,2068.53,1.0675513255,-0.0029005264,,
2015-02-09,2046.74,2068.59,,1.0675513255,,
,,2046.74,,,,
